snapshot_date,symbol,idx_code,issuer_name,board,sector
2025-09-20,DLTA.JK,DLTA,PT Delta Djakarta Tbk,,Consumer non-durables
2025-09-20,DMAS.JK,DMAS,PT Puradelta Lestari Tbk,,Finance
2025-09-20,DMMX.JK,DMMX,PT Digital Mediatama Maxima Tbk,,Commercial services
2025-09-20,DMND.JK,DMND,PT Diamond Food Indonesia Tbk,,Consumer non-durables
2025-09-20,DNAR.JK,DNAR,PT Bank Oke Indonesia Tbk,,Finance
2025-09-20,DNET.JK,DNET,PT Indoritel Makmur Internasional Tbk,,Communications
2025-09-20,DOID.JK,DOID,PT BUMA Internasional Grup Tbk,,Energy minerals
2025-09-20,DOOH.JK,DOOH,PT Era Media Sejahtera Tbk,,Commercial services
2025-09-20,DOSS.JK,DOSS,PT Global Sukses Digital Tbk,,Retail trade
2025-09-20,DPNS.JK,DPNS,PT Duta Pertiwi Nusantara Tbk,,Process industries
2025-09-20,DPUM.JK,DPUM,PT Dua Putra Utama Makmur Tbk,,Distribution services
2025-09-20,DRMA.JK,DRMA,PT Dharma Polimetal Tbk,,Producer manufacturing
2025-09-20,DSFI.JK,DSFI,PT Dharma Samudera Fishing Industries Tbk,,Consumer non-durables
2025-09-20,DSNG.JK,DSNG,PT Dharma Satya Nusantara Tbk,,Non-energy minerals
2025-09-20,DSSA.JK,DSSA,PT Dian Swastatika Sentosa Tbk,,Energy minerals
2025-09-20,DUTI.JK,DUTI,PT Duta Pertiwi Tbk,,Finance
2025-09-20,DVLA.JK,DVLA,PT Darya-Varia Laboratoria Tbk,,Health technology
2025-09-20,DWGL.JK,DWGL,PT Dwi Guna Laksana Tbk,,Energy minerals
2025-09-20,DYAN.JK,DYAN,PT Dyandra Media International Tbk,,Commercial services
2025-09-20,EAST.JK,EAST,PT Eastparc Hotel Tbk,,Consumer services
2025-09-20,ECII.JK,ECII,PT Electronic City Indonesia Tbk,,Retail trade
2025-09-20,EDGE.JK,EDGE,PT Indointernet Tbk,,Technology services
2025-09-20,EKAD.JK,EKAD,PT Ekadharma International Tbk,,Process industries
2025-09-20,ELIT.JK,ELIT,PT Data Sinergitama Jaya Tbk,,Technology services
2025-09-20,ELPI.JK,ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,,Transportation
2025-09-20,ELSA.JK,ELSA,PT Elnusa Tbk,,Energy minerals
